Query,Time-In-MilliSeconds
select `id` from `route_names` where (`name` = 'verify.otp') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'warehouse.activate'), 0.29
select `id` from `route_names` where (`name` = 'warehouse.activate') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'warehouse.create'), 0.23
select `id` from `route_names` where (`name` = 'warehouse.create') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'warehouse.csv'), 0.22
select `id` from `route_names` where (`name` = 'warehouse.csv') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'warehouse.de_activate'), 0.23
select `id` from `route_names` where (`name` = 'warehouse.de_activate') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'warehouse.destroy'), 0.23
select `id` from `route_names` where (`name` = 'warehouse.destroy') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'warehouse.edit'), 0.24
select `id` from `route_names` where (`name` = 'warehouse.edit') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'warehouse.index'), 0.23
select `id` from `route_names` where (`name` = 'warehouse.index') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'warehouse.show'), 0.24
select `id` from `route_names` where (`name` = 'warehouse.show') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'warehouse.store'), 0.22
select `id` from `route_names` where (`name` = 'warehouse.store') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'warehouse.update'), 0.22
select `id` from `route_names` where (`name` = 'warehouse.update') limit 1, 0.23
select * from `roles` where `roles`.`id` = '1' limit 1, 0.28
select `id` from `role_route_names` where `role_id` = '1', 0.33
select count(*) as aggregate from `role_route_names` where (`role_id` = '1' and `route_name_id` = '103'), 0.32
select `id` from `role_route_names` where (`role_id` = '1' and `route_name_id` = '103') limit 1, 0.28
select count(*) as aggregate from `role_route_names` where (`role_id` = '1' and `route_name_id` = '100'), 0.28
select `id` from `role_route_names` where (`role_id` = '1' and `route_name_id` = '100') limit 1, 0.27
select count(*) as aggregate from `role_route_names` where (`role_id` = '1' and `route_name_id` = '105'), 0.27
select `id` from `role_route_names` where (`role_id` = '1' and `route_name_id` = '105') limit 1, 0.3
select count(*) as aggregate from `role_route_names` where (`role_id` = '1' and `route_name_id` = '102'), 0.29
select `id` from `role_route_names` where (`role_id` = '1' and `route_name_id` = '102') limit 1, 0.26
select count(*) as aggregate from `role_route_names` where (`role_id` = '1' and `route_name_id` = '106'), 0.26
select `id` from `role_route_names` where (`role_id` = '1' and `route_name_id` = '106') limit 1, 0.26
select count(*) as aggregate from `role_route_names` where (`role_id` = '1' and `route_name_id` = '101'), 0.24
select `id` from `role_route_names` where (`role_id` = '1' and `route_name_id` = '101') limit 1, 0.26
select count(*) as aggregate from `role_route_names` where (`role_id` = '1' and `route_name_id` = '12'), 0.25
select `id` from `role_route_names` where (`role_id` = '1' and `route_name_id` = '12') limit 1, 0.26
